Poster_Link,Series_Title,Genre,Director,text-prep-stem
"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Shawshank Redemption,Drama,Frank Darabont,drama two imprison men bond number year find solac eventu redempt act common decenc frank darabont tim robbin morgan freeman bob gunton william sadler
"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather,"Crime, Drama",Francis Ford Coppola,crime drama organ crime dynasti age patriarch transfer control clandestin empir reluct son franci ford coppola marlon brando al pacino jame caan dian keaton
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight,"Action, Crime, Drama",Christopher Nolan,action crime drama menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic christoph nolan christian bale heath ledger aaron eckhart michael cain
"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather: Part II,"Crime, Drama",Francis Ford Coppola,crime drama earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic franci ford coppola al pacino robert de niro robert duval dian keaton
"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",12 Angry Men,"Crime, Drama",Sidney Lumet,crime drama juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid sidney lumet henri fonda lee j cobb martin balsam john fiedler
"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Peter Jackson,action adventur drama gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring peter jackson elijah wood viggo mortensen ian mckellen orlando bloom
"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",Pulp Fiction,"Crime, Drama",Quentin Tarantino,crime drama live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt quentin tarantino john travolta uma thurman samuel l jackson bruce willi
"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Schindler's List,"Biography, Drama, History",Steven Spielberg,biographi drama histori germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi steven spielberg liam neeson ralph fienn ben kingsley carolin goodal
"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Inception,"Action, Adventure, Sci-Fi",Christopher Nolan,action adventur scifi thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo christoph nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanab
"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Fight Club,Drama,David Fincher,drama insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much david fincher brad pitt edward norton meat loaf zach grenier
